编号,品牌,产区,豆子名称,风味描述,参考价格/规格,每百克价格,优点,缺点,最新评分,萃取建议,首测日期,复测日期,复测日期,群友评价,群友评价,群友评价,群友评价
332,弥翼,埃塞,莓莓红颜soe,蓝莓 柑橘 茉莉花,76/250,30.4,整体均衡,风味稍弱 触感稍弱,3.5+,,2025/5/26,,,,,,,
333,Coffee Buff,拼配,春季拼配,佛手柑 姜花 青柠 薄荷绿茶,106/250,42.4,清爽干净 茶香余韵,甜感稍弱,4+,,2025/5/26,,,,,,,
334,它香,拼配,富的流油,油薅 焦糊,140/200,70,无,瑕疵率高 性价比低 负面明显,1,,2025/5/26,,,,,,,
335,Big Sur,厄瓜多尔,加强铁皮卡 水洗 soe,西梅 梅子干 黄糖,198/200,99,酸质透亮 层次丰富 余韵长,奶咖甜感稍弱 性价比稍低,4.5-,,2025/5/30,,,,,,,
336,山姆,拼配,铂金咖啡豆,坚果 黑巧,120/800,15,定价合理 醇厚度高,缺乏风味 包装简陋,3,,2025/5/30,,,,,,,
337,乔治队长,哥伦比亚,粉波旁soe,李子 青提 伯爵茶,85/200,42.5,风味明显 层次感尚可,触感稍弱 甜感稍弱 略有负面,4-,,2025/5/30,,,,,,,
338,它香,拼配,开心果,烧焦的烂木头,109.9/200,55,无,瑕疵率高 风味差 性价比低,1,,2025/6/4,,,,,,,
339,青玉,埃塞,蒙塔莎 日晒 soe,甜花 橙子 核果,73/227,32.2,甜感高 风味明显,低温触感稍差,4.5,热奶咖,2025/6/4,,,,,,,
340,Chaka,埃塞,蒙塔莎 蜜处理,荔枝 桃花 柠檬,49/120,40.8,甜感高 风味明显,美式酸质稍沉闷,4+,奶咖,2025/6/4,,,,,,,
341,启程拓殖,拼配,Lost in summer 冷萃,树莓 杏桃 蜂蜜 红茶,72./200,36,风味明显,酵感偏重,3.5+,,2025/6/4,,,,,,,
342,山姆,拼配,经典意式拼配,坚果 烟熏,99.9/1000,10,便宜,瑕疵率高 负面风味明显,2,,2025/6/3,,,,,,,
343,Joker,埃塞,花魁omni,荔枝 蓝莓 菠萝 花香,60/150,40,花香明显 奶咖甜感高,美式酸质稍沉 微有负面,4+,奶咖,2025/6/3,,,,,,,
344,AF,拼配,黄油甜豆豆,黄油可颂 白巧克力,70/454,15.4,风味明显 甜感高 性价比高,低温触感稍差,4.5,热奶咖,2025/6/4,,,,,,,
345,光咖坊,哥伦比亚,气泡酒 瑰夏soe,洛神花 香槟酒 荔枝干 黄桃,159/100,159,层次丰富 香气四溢,价格贵 高温风味偏弱,5-,冷萃 冰滴 冷奶咖,2025/6/6,,,,,,,
346,麒麟方舟,拼配,蔓越莓曲奇,蔓越莓干 黑巧 奶油,43/200,21.5,性价比高 整体均衡,稍不耐萃,4+,适当降低萃取率,2025/6/11,,,,,,,
347,启程拓殖,埃塞,Rumudamo soe,红色花 菠萝 蓝莓 桃子,87.3/200,43.7,果香明显 层次丰富 甜感在线,微有酵感 小贵,4.5-,,2025/6/11,,,,,,,
348,麒麟方舟,拼配,橙香威化,甜橙 坚果 焦糖 威化,43/200,21.5,性价比高 整体均衡,略不耐萃 干净度稍弱,4,,2025/6/9,,,,,,,
349,辛鹿,埃塞,野草莓,曲奇饼干  莓果酸质,76.5/500,16.3,整体均衡 性价比高,风味强度偏弱,4,,2024/10/30,,,,,,,
350,Chaka,拼配,莓果炸弹,蓝莓果酱 樱桃 薄荷糖 红糖,39/120,32.5,风味明显 酸质明亮,风味单一 略有酵感,4,,2025/6/16,,,,,,,
351,河汉,拼配,春季拼配,甜花香 绿茶 柑橘,68/200,34,花香四溢 清新悠长,层次感稍弱,4.5,奶咖,2025/7/3,,,,,,,
352,河汉,拼配,全水洗拼配pro,白花 佛手柑 甜橙 红茶,188/200,94,整体均衡 干净度高,性价比低,4,,2025/7/3,,,,,,,
353,河汉,拼配,夏季拼配,柑橘 水果糖 花香,75/200,37.5,风味明显 酸甜均衡,层次感稍弱,4.5-,,2025/7/3,,,,,,,
354,河汉,拼配,综合拼配pro,坚果 红糖 杏脯,76/200,38,整体均衡 甜感在线,酸质稍弱 性价比微低,4-,,2025/7/3,,,,,,,
355,辛鹿,埃塞,溏心菠萝soe,菠萝 百香果 酒香,59/252,23.4,风味明显 性价比高,酵感明显,4+,奶咖,2025/7/8,,,,,,,
356,Chaka,埃塞,匿名者4.0,茉莉花 桃子 甜橙 蜂蜜,48/120,40,整体均衡 甜感在线,层次感稍弱,4+,,2025/7/8,,,,,,,
357,Malina,埃塞,蛋糕匣子,葡萄 深色浆果 核果,118/250,47.2,整体均衡 风味明显,微有酵感,4+,,2025/7/8,,,,,,,
358,太啡糖,秘鲁,赛级soe,蜜饯 枫糖 莲子,64/200,32,甜感高 整体均衡,低温触感稍弱,4+,,2025/7/8,,,,,,,
359,白鲸,哥伦比亚,睡美人（低因）,烤红薯皮 烤坚果,78/200,39,低因 甜感尚可,触感差 风味偏弱,3.5,,2025/7/14,,,,,,,
360,Joker,肯尼亚,叻事番茄,番茄 话梅糖,68/150,45.3,甜感高 风味明显,微不耐萃,4.5,,2025/7/14,,,,,,,
361,Big Sur,埃塞,哈马修soe,甜橙 油桃 红茶,95/200,47.5,整体均衡,性价比稍低 层次感稍弱,4,,2025/7/14,,,,,,,
362,青玉,云南,鲜花饼,乌梅 话梅糖 太妃糖 鲜花饼,76/227,33.480176211453745,风味明显 甜感在线,略有酵感 干净度稍低,4+,,2025/7/18,,,,,,,
363,Big Sur,埃塞,吉格萨soe,油桃 甜杏 伯爵红茶,67.5/200,33.8,甜感在线 均衡清爽,无,5-,冷奶咖 适当减少奶量,2025/7/18,,,,,,,
364,辛鹿,埃塞,溏心荔枝,核果 红茶 花香,39/112,34.9,整体均衡,微有酵感 干净度稍弱,4-,,2025/7/18,,,,,,,
365,Coffee Buff,洪都拉斯,潘塔纳庄园soe,蜜饯 黄杏 蜜瓜 巧克力,86/250,34.4,甜感尚可,风味不足 略有酵感,3.5,,2025/7/20,,,,,,,
366,Big Sur,秘鲁,赏花庄园 泉水冷发酵水洗瑰夏combo版,杏脯 杏皮水 白花香,228/200,114,风味明显 干净 甜感高,层次感弱 略贵,4.5-,,2025/7/29,,,,,,,
367,Code Black,拼配,季节拼配,樱桃 桃子 柑橘 柠檬草,113.25/250,45.1,风味明显 层次丰富,低温微有负面,4.5,,2025/7/30,,,,,,,
368,Padre,拼配,季节拼配,柑橘 太妃糖 杏仁,96.6/250,38.6,整体均衡 酸质柔和,略不耐萃 瑕疵率高,4,,2025/7/31,,,,,,,
369,Wide Open Road,拼配,Moon Pix 季节拼配,核果 树莓 糖浆,107.2/250,42.9,整体均衡 奶咖好喝,略不耐萃 微有负面,4.5-,,2025/8/1,,,,,,,
370,Let's Grind,埃塞,瑰夏农场 黑蜜soe,西柚 金桔 葡萄,72/227,31.7,酸质柔和 甜感高 ,层次感稍弱,4+,美式,2025/8/2,,,,,,,
371,Small Batch,拼配,The Ones we Love,麦芽 莓果 黄油 焦糖,89.3/250,35.7,热奶咖在线 甜感尚可,美式稍沉闷 触感稍差,4-,热奶咖,2025/8/2,,,,,,,
372,Axil,拼配,季节拼配,黑巧 烤坚果 发酵酸,89.3/250,35.7,无,瑕疵率高 味道杂,2.5,,2025/8/4,,,,,,,
373,乔治队长,埃塞,黑茉莉soe,茉莉花 黑巧 焦糖,108/454,23.8,风味明显 奶咖好喝 性价比高,酸质偏弱 处理法存疑,4+,,2025/8/5,,,,,,,
374,Yu roaster,埃塞,花仙子,花香 石榴汁 甜橙 杏桃,0.38766519823789,38.7,甜感高 整体均衡 ,酸质稍弱 干净度稍弱,4+,,2025/8/11,,,,,,,
375,穷学生小李,哥伦比亚,圣洁庄园soe,树莓 柑橘 葡萄干 白巧 牛奶,0.352,35.2,甜感在线 整体均衡,美式稍苦,4+,热奶咖,2025/8/14,,,,,,,
376,银时燕,拼配,木瓜拼配,啤酒花 车厘子 浆果,0.312,31.2,风味明显,风味割裂 层次感弱 触感偏差,3.5-,热奶咖,2025/8/15,,,,,,,
377,Big Sur,肯尼亚,涅里 PB小圆豆soe,红梅 黄糖 奇异果,108/200,54,酸质干净 甜感在线,略有负面 层次感弱,4+,,2025/8/16,,,,,,,
378,青玉,拼配,镜莲花拼配,白花 橘子 水果糖,45/100,45,整体均衡 甜感在线,酸质稍弱 干净度稍弱,4+,,2025/8/17,,,,,,,
379,SGL,拼配,黑巧拼配,黑巧 可可,59/454,13,醇厚度高 甜感尚可,略有烟感 缺乏风味,3.5+,,2025/8/18,,,,,,,
380,Joker,哥伦比亚,叻事玫莓,莓果酱 玫瑰,128/150,85.3,风味明显,层次单一 触感偏弱 性价比低,4-,,2025/8/19,,,,,,,
